0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:59 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:38:59 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:00 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:00 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:00 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:00 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:00 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:00 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:00 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:01 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:01 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:01 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:01 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:01 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:01 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:02 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:02 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:02 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:02 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:02 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:02 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:02 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:03 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:03 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:03 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:03 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:03 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:03 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:03 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:04 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:04 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:04 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:04 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:04 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:04 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:04 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:05 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:05 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:05 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:05 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:05 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:05 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:05 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:06 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:06 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:06 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:06 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:06 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:06 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:06 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:07 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:07 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:07 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:07 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:07 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:07 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:07 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:08 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:08 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:08 -0400] "GET /chart HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:08 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:08 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:08 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:08 -0400] "GET /chart HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:09 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:09 -0400] "GET /graph HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Oct/2018:10:39:09 -0400] "GET /chart HTTP/1.1" 200 1495
